
------------------Resources used from 201901 to 202012 on Knight Landing------------------
date        username    account              localCluster       num.jobs
                                               Consumed/h
------------------------------------------------------------------------------------------
20190617    a07cms04    Pra18_4658               56:17:20              7
20190621    a07cms03    Pra18_4658                9:27:48             80
20190622    a07cms03    Pra18_4658               39:45:40            182
20190623    a07cms03    Pra18_4658               19:12:36            187
20190624    a07cms03    Pra18_4658                6:27:36             58
20190624    tboccali    Pra18_4658               15:07:48             15
20190625    tboccali    Pra18_4658                1:11:24              2
20190626    sdalpra0    Pra18_4658               37:21:44              3
20190626    tboccali    Pra18_4658                4:11:36              3
20190626    avalassi    Pra18_4658               69:00:04              3
20190626    a07cms04    Pra18_4658                5:38:52              4
20190626    dspiga00    Pra18_4658               13:20:08              1
20190627    a07cms04    Pra18_4658                2:42:04              2
20190627    dspiga00    Pra18_4658                0:10:12              1
20190628    dspiga00    Pra18_4658               13:42:48              7
20190628    sdalpra0    Pra18_4658                3:11:32              2
20190628    fstagni0    Pra18_4658                0:36:16              1
20190628    a07cms02    Pra18_4658              430:03:44              2
20190630    dspiga00    Pra18_4658                4:07:04              1
20190701    dspiga00    Pra18_4658               38:09:20              4
20190701    sdalpra0    Pra18_4658                5:41:08              4
20190702    dspiga00    Pra18_4658              146:57:20              7
20190702    sdalpra0    Pra18_4658               34:14:44              1
20190703    dspiga00    Pra18_4658              149:39:24             14
20190703    tboccali    Pra18_4658              126:02:44              6
20190703    mconcas0    Pra18_4658              143:45:48             17
20190703    a07cms01    Pra18_4658                3:58:00              2
20190703    a07cms02    Pra18_4658             1471:58:24              8
20190703    sdalpra0    Pra18_4658               53:21:40              2
20190704    a07cms02    Pra18_4658              740:43:40             20
20190704    dspiga00    Pra18_4658               38:24:04              4
20190704    tboccali    Pra18_4658               17:05:40              1
20190704    sdalpra0    Pra18_4658               34:13:36              1
20190705    tboccali    Pra18_4658                0:34:00              1
20190705    sdalpra0    Pra18_4658                0:10:12              1
20190705    a07cms04    Pra18_4658                1:22:44              1
20190705    a07cms02    Pra18_4658              416:58:20             16
20190705    dspiga00    Pra18_4658                4:21:48              2
20190708    tboccali    Pra18_4658               54:43:16              2
20190708    sdalpra0    Pra18_4658               68:22:40              3
20190708    a07cms02    Pra18_4658              337:29:16             16
20190708    a07cms00    Pra18_4658             1078:56:00              6
20190708    a07cms03    Pra18_4658                0:05:40              1
20190708    dspiga00    Pra18_4658                0:37:24              2
20190709    mconcas0    Pra18_4658                0:28:20              1
20190709    sdalpra0    Pra18_4658                1:30:40              1
20190709    a07cms02    Pra18_4658               24:17:28              1
20190710    mconcas0    Pra18_4658              142:59:20             27
20190711    mconcas0    Pra18_4658               36:59:04              2
20190715    mconcas0    Pra18_4658              304:08:56             33
20190716    a07cms02    Pra18_4658               34:10:12              1
20190716    mconcas0    Pra18_4658              433:43:36              7
20190716    tboccali    Pra18_4658               15:55:24              1
20190716    a07cms04    Pra18_4658                2:48:52              2
20190717    mconcas0    Pra18_4658              312:42:20             15
20190821    mconcas0    Pra18_4658              758:05:12             32
20190822    mconcas0    Pra18_4658             1985:31:28             43
20190823    mconcas0    Pra18_4658               33:50:56              2
20190827    mconcas0    Pra18_4658              800:04:36             36
20190828    mconcas0    Pra18_4658             3630:10:48             52
20190829    mconcas0    Pra18_4658             4013:04:36            161
20190905    a07cms02    Pra18_4658              219:14:36             10
20190916    avalassi    Pra18_4658               38:12:44              4
20190917    avalassi    Pra18_4658             1143:11:36             15
20190918    avalassi    Pra18_4658             6530:04:40             35
20190920    dspiga00    Pra18_4658               79:01:52              3
20190920    a07cms02    Pra18_4658              794:38:12             36
20190920    sdalpra0    Pra18_4658               49:04:24              3
20190921    a07cms02    Pra18_4658             2276:48:36            105
20190922    a07cms02    Pra18_4658             2279:35:12            105
20190923    a07cms02    Pra18_4658             1937:35:04             88
20190923    dspiga00    Pra18_4658               34:07:56              1
20190923    a07cms00    Pra18_4658              519:05:08              4
20190924    a07cms00    Pra18_4658              853:10:24              4
20190924    a07cms02    Pra18_4658              153:22:40              7
20191004    tboccali    Pra18_4658                6:38:56              1
20191007    a07cms00    Pra18_4658             1004:43:08              7
20191008    a07cms00    Pra18_4658             5278:57:12             25
20191008    a07cms04    Pra18_4658                0:12:28              2
20191008    a07ali00    Pra18_4658                0:13:36              1
20191009    a07cms00    Pra18_4658             7081:58:24             32
20191010    a07cms00    Pra18_4658             4476:16:12             27
20191010    a07ali00    Pra18_4658                1:53:20              5
20191011    a07cms00    Pra18_4658             4234:47:40             95
20191011    a07ali00    Pra18_4658              416:53:48             16
20191011    fnoferin    Pra18_4658              111:42:32              5
20191012    a07cms00    Pra18_4658             2568:14:48             95
20191013    a07cms00    Pra18_4658              951:11:16             93
20191014    a07cms00    Pra18_4658             2126:48:48             60
20191015    a07cms00    Pra18_4658             2637:14:52            103
20191015    a07ali00    Pra18_4658              969:47:36              5
20191016    a07cms00    Pra18_4658             1428:49:52            134
20191016    mconcas0    Pra18_4658              512:26:12              6
20191016    a07ali00    Pra18_4658             1223:07:52             13
20191016    fnoferin    Pra18_4658               48:32:40              3
20191017    a07cms00    Pra18_4658             2683:12:16            106
20191017    a07ali00    Pra18_4658              894:46:00              6
20191017    fnoferin    Pra18_4658               55:43:20              3
20191018    a07ali00    Pra18_4658             2579:16:40              9
20191018    a07cms00    Pra18_4658             2300:58:08            154
20191019    a07ali00    Pra18_4658             1632:34:00              1
20191019    a07cms00    Pra18_4658             5244:23:12            495
20191019    a07cms05    Pra18_4658               93:45:52              4
20191020    a07cms00    Pra18_4658             1407:59:48            126
20191020    a07cms05    Pra18_4658              531:34:16             23
20191021    a07ali00    Pra18_4658             2316:56:56              6
20191021    a07cms00    Pra18_4658             2760:21:56            254
20191021    fnoferin    Pra18_4658               51:46:28              4
20191021    a07lhc00    Pra18_4658             1355:35:56            144
20191021    avalassi    Pra18_4658                2:38:40              1
20191022    a07ali00    Pra18_4658              547:39:52              1
20191022    a07cms00    Pra18_4658             2561:20:00            248
20191022    a07lhc00    Pra18_4658             3746:11:44            362
20191022    fnoferin    Pra18_4658               34:09:04              1
20191022    fstagni0    Pra18_4658                4:07:04              1
20191022    avalassi    Pra18_4658                1:22:44              2
20191023    a07ali00    Pra18_4658             3927:41:56              3
20191023    a07cms00    Pra18_4658             2210:36:16            214
20191023    a07lhc00    Pra18_4658              320:56:28             30
20191024    a07cms00    Pra18_4658             1291:13:32            126
20191024    tboccali    Pra18_4658              209:16:12             21
20191025    a07ali00    Pra18_4658             3405:30:56             19
20191025    a07cms00    Pra18_4658             2695:07:24            103
20191025    tboccali    Pra18_4658               34:56:40              4
20191026    a07cms00    Pra18_4658             2726:34:24            105
20191026    tboccali    Pra18_4658             1358:53:08              3
20191027    a07cms00    Pra18_4658             2774:08:08            110
20191028    a07cms00    Pra18_4658             2903:29:12            122
20191029    a07cms00    Pra18_4658             2743:43:28            104
20191029    a07ali00    Pra18_4658              491:49:44              5
20191030    a07cms00    Pra18_4658             2680:33:36             99
20191030    a07ali00    Pra18_4658              815:47:32              2
20191031    a07ali00    Pra18_4658             6529:23:52              4
20191031    a07cms00    Pra18_4658             2630:40:28             98
20191101    a07cms00    Pra18_4658             2422:23:12             76
20191102    a07cms00    Pra18_4658             1240:13:32            116
20191103    a07cms00    Pra18_4658             2295:53:16             53
20191108    mconcas0    Pra18_4658              425:29:28             11
20191109    mconcas0    Pra18_4658              475:03:20              9
20191111    mconcas0    Pra18_4658               68:40:48              2
20191111    tboccali    Pra18_4658              284:05:20              3
20191111    fnoferin    Pra18_4658               28:59:40              2
20191112    a07cms00    Pra18_4658               84:16:56              8
20191112    fnoferin    Pra18_4658              197:04:04              7
20191113    a07cms00    Pra18_4658             8551:40:48             50
20191113    fnoferin    Pra18_4658              103:57:52              4
20191113    a07ali00    Pra18_4658              681:43:08              7
20191114    a07ali00    Pra18_4658             8260:04:24             20
20191114    a07cms00    Pra18_4658             5645:45:24             25
20191114    fnoferin    Pra18_4658               64:22:24              3
20191115    a07ali00    Pra18_4658             4052:35:32             16
20191115    a07cms00    Pra18_4658             5063:51:56             23
20191115    mconcas0    Pra18_4658             2450:18:16              5
20191115    fnoferin    Pra18_4658                1:29:32              1
20191116    a07ali00    Pra18_4658            21334:44:08             29
20191116    a07cms00    Pra18_4658             6664:20:24             24
20191117    a07ali00    Pra18_4658             5766:19:28              6
20191117    a07cms00    Pra18_4658             5876:38:08             20
20191118    a07ali00    Pra18_4658             4839:04:08              5
20191118    a07cms00    Pra18_4658             2921:55:20             17
20191118    mconcas0    Pra18_4658               34:02:16              1
20191119    a07cms00    Pra18_4658             6529:12:32             11
20191120    a07ali00    Pra18_4658             3214:02:20              7
20191120    a07cms00    Pra18_4658             3116:51:20             12
20191120    fnoferin    Pra18_4658              116:39:28              4
20191121    a07cms00    Pra18_4658             6643:40:32             27
20191121    a07ali00    Pra18_4658              857:01:36              4
20191121    a07cms02    Pra18_4658              399:50:24             10
20191122    a07cms00    Pra18_4658            11497:59:16            119
20191122    a07ali00    Pra18_4658              929:57:24              2
20191122    fnoferin    Pra18_4658               68:41:56              2
20191122    a07lhc00    Pra18_4658                1:53:20              5
20191123    a07ali00    Pra18_4658             1891:08:12              2
20191123    a07cms00    Pra18_4658            14507:46:52            293
20191124    a07cms00    Pra18_4658            21562:27:36            306
20191124    a07ali00    Pra18_4658              134:58:48              1
20191125    a07cms00    Pra18_4658            15910:32:44            300
20191125    a07ali00    Pra18_4658              576:33:52              1
20191126    a07cms00    Pra18_4658            12239:03:20            152
20191127    tboccali    Pra18_4658             1136:22:28              3
20191127    a07cms00    Pra18_4658             2417:22:52             74
20191127    a07ali00    Pra18_4658              694:25:52              4
20191128    tboccali    Pra18_4658             1133:49:28              1
20191128    a07cms00    Pra18_4658             2290:50:40             69
20191128    a07ali00    Pra18_4658             1968:36:00              4
20191129    a07cms00    Pra18_4658             1801:46:24             39
20191129    tboccali    Pra18_4658              139:39:52              9
20191129    a07ali00    Pra18_4658             3608:45:36              7
20191129    dspiga00    Pra18_4658              114:00:48              6
20191130    a07ali00    Pra18_4658            12760:57:20              9
20191130    dspiga00    Pra18_4658                1:19:20              1
20191202    dspiga00    Pra18_4658              252:40:36             18
20191202    a07ali00    Pra18_4658             3744:10:28              8
20191202    a07cms04    Pra18_4658                0:07:56              1
20191202    a07cms02    Pra18_4658              987:39:44             57
20191202    tboccali    Pra18_4658               70:03:32              3
20191203    a07ali00    Pra18_4658             2788:13:36              5
20191203    a07cms02    Pra18_4658             2292:12:16             68
20191203    dspiga00    Pra18_4658              297:13:00             10
20191203    tboccali    Pra18_4658              300:35:52              9
20191204    a07cms02    Pra18_4658            34953:04:36            615
20191204    dspiga00    Pra18_4658              206:38:40              7
20191204    tboccali    Pra18_4658              139:13:48              8
20191204    a07ali00    Pra18_4658              642:17:52              3
20191205    a07ali00    Pra18_4658             1151:25:44              1
20191205    a07cms02    Pra18_4658            28475:06:48            804
20191205    tboccali    Pra18_4658               34:17:00              1
20191205    fnoferin    Pra18_4658               34:03:24              1
20191205    a07lhc00    Pra18_4658               62:47:12             91
20191205    dspiga00    Pra18_4658               18:13:40              1
20191206    a07cms02    Pra18_4658             7688:53:32            151
20191206    tboccali    Pra18_4658              206:27:20              7
20191206    dspiga00    Pra18_4658                7:32:12              1
20191206    a07ali00    Pra18_4658              209:15:04              6
20191207    a07ali00    Pra18_4658             2131:34:24              7
20191207    a07cms02    Pra18_4658            15065:00:12            418
20191208    a07cms02    Pra18_4658             2844:45:40            114
20191208    dspiga00    Pra18_4658               68:57:48              3
20191208    a07ali00    Pra18_4658                2:31:52              1
20191209    a07cms02    Pra18_4658            80554:32:16            292
20191209    tboccali    Pra18_4658              131:39:20              4
20191209    dspiga00    Pra18_4658               34:02:16              1
20191210    a07cms02    Pra18_4658           166775:00:20            622
20191210    tboccali    Pra18_4658              137:12:32              4
20191211    a07cms02    Pra18_4658           178128:09:12           2145
20191211    a07cms01    Pra18_4658                0:00:00              4
20191211    dspiga00    Pra18_4658                0:12:28              2
20191212    a07cms02    Pra18_4658            25778:08:20            282
20191212    a07cms01    Pra18_4658              105:46:40              8
20191212    a07ali00    Pra18_4658              176:53:40              4
20191213    a07cms02    Pra18_4658           238944:13:04           1055
20191213    a07cms01    Pra18_4658               34:00:00             22
20191214    a07cms02    Pra18_4658            74370:13:16           2991
20191214    a07cms01    Pra18_4658             1022:14:52             41
20191215    a07cms02    Pra18_4658           149028:41:12           6005
20191215    a07cms01    Pra18_4658             2034:42:40             62
20191216    a07cms02    Pra18_4658           128124:49:32           4071
20191216    a07cms01    Pra18_4658             1587:28:44             52
20191216    dspiga00    Pra18_4658              103:22:44              3
20191217    a07cms02    Pra18_4658           229836:25:48            221
20191217    a07cms01    Pra18_4658              137:38:36              9
20191217    tboccali    Pra18_4658                0:00:00              1
20191217    a07ali00    Pra18_4658              521:30:12              4
20191218    a07cms02    Pra18_4658            22419:16:44            102
20191218    a07cms01    Pra18_4658              166:12:12              9
20191218    a07lhc00    Pra18_4658              942:53:44             75
20191218    dspiga00    Pra18_4658               34:17:00              1
20191219    a07cms02    Pra18_4658            23826:02:52             34
20191219    a07lhc00    Pra18_4658              818:00:08             82
20191219    a07cms01    Pra18_4658              102:37:24              6
20191219    a07ali00    Pra18_4658            11463:28:40            116
20191220    a07cms02    Pra18_4658            24124:48:48            226
20191220    a07ali00    Pra18_4658             8004:24:44             15
20191220    a07cms01    Pra18_4658               67:15:48             18
20191221    a07cms02    Pra18_4658            23844:39:12             79
20191221    a07ali00    Pra18_4658             2559:02:52              4
20191221    a07cms01    Pra18_4658               68:15:52              5
20191222    a07cms02    Pra18_4658            21123:25:32            199
20191222    a07cms01    Pra18_4658             1632:45:20             18
20191223    a07cms02    Pra18_4658            19570:36:28             55
20191223    a07cms01    Pra18_4658                0:00:00              3
20191224    a07cms02    Pra18_4658             1579:40:40             24
20191225    a07cms02    Pra18_4658             2220:29:00             15
20191226    a07cms02    Pra18_4658            24761:49:20            177
20191227    a07cms02    Pra18_4658            25030:07:12             95
20191228    a07cms02    Pra18_4658            44992:19:56           1158
20191228    dspiga00    Pra18_4658              137:29:32              5
20191229    a07cms02    Pra18_4658            94000:18:36           3927
20191229    dspiga00    Pra18_4658               34:05:40              1
20191230    a07cms02    Pra18_4658           320914:42:16           1199
20191230    dspiga00    Pra18_4658               13:28:04              1
20191231    a07cms02    Pra18_4658            65600:03:12           3087
